codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,datahora
30521,LRC6594,12,-23.006653,-43.552022,2023-07-21 14:01:18,50.4,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],33232.5,285.0,
30522,LRE9805,12,-22.9203,-43.607183,2023-04-18 09:39:03,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],17983.8,,
30524,LRC6601,25,-23.000661,-43.368335,2023-07-21 10:56:00,22.1,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],27707.9,286.0,
30525,LRC6596,25,-23.000581,-43.384779,2023-07-21 14:01:16,58.9,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],52466.4,89.0,
30531,LRC6592,10,-22.929592,-43.675175,2023-07-21 14:00:35,55.3,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],38628.6,131.0,
30532,KYL8599,10,-23.001903,-43.365581,2023-07-21 12:28:08,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],39952.0,,
30533,KWO8120,12,-22.993993,-43.59629,2023-07-21 14:01:11,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],50959.8,309.0,
30536,KXE7721,10,-22.920297,-43.60846,2023-06-03 18:26:10,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),13477.3,,
30537,KXE7720,25,-23.004653,-43.560263,2023-07-21 14:01:01,9.2,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],50473.1,278.0,
30538,KXE7719,0,-23.002671,-43.365853,2023-07-21 12:37:38,0.0,,,,54262.2,70.0,
30542,KXE7717,10,-22.997126,-43.592059,2023-07-21 14:01:06,58.3,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],51141.4,292.0,
44705,,0,-22.919442,-43.607471,2023-07-21 13:01:00,0.0,,,,12732.1,,
44706,LRG8855,10,-23.001623,-43.364417,2023-07-21 13:34:40,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],20780.1,,
44717,KWW8818,18,-22.919874,-43.607744,2023-06-06 00:02:47,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],8226.799,,
44731,,0,-22.920193,-43.607418,2023-03-08 06:32:40,0.0,,,,2058.1,,
44732,LSG9592,0,-23.001828,-43.365297,2023-07-21 12:23:28,0.0,,,,36532.6,,
47004,KQK7904,25,-23.008671,-43.443756,2023-07-21 14:01:10,49.3,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],47653.0,75.0,
47005,LSV5862,0,-22.920478,-43.608272,2023-07-21 13:36:16,0.0,,,,42896.4,,
47006,KWZ8630,12,-22.965905,-43.64775,2023-07-21 13:56:52,21.4,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],48974.2,154.0,
47007,LSP6018,18,-23.006676,-43.313294,2023-07-21 13:42:03,0.0,,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],41130.2,,
47008,KPY9735,10,-22.920562,-43.608147,2023-06-13 08:00:39,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),42835.5,,
47009,KPZ8430,10,-23.002208,-43.366933,2023-07-21 12:59:11,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],52321.9,,
47010,KPZ8363,25,-22.920751,-43.607801,2023-07-21 13:31:21,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],41619.1,43.0,
47011,LRH8889,12,-23.017918,-43.480919,2023-07-21 14:00:59,59.7,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],37886.7,255.0,
47012,KPZ8364,10,-23.005414,-43.556842,2023-07-21 14:01:14,34.1,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],52816.2,291.0,
47014,KZI4452,10,-23.000189,-43.369659,2023-07-21 14:01:04,51.2,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],36469.0,89.0,
47015,LRH8891,10,-22.919456,-43.607191,2023-04-18 17:25:44,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),12489.7,,
47017,LRS2841,25,-23.000951,-43.367564,2023-07-21 14:01:09,13.9,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],45980.2,266.0,
47018,LRS2843,0,-22.965353,-43.391459,2023-07-21 14:01:18,0.0,,,,31440.9,,
47019,KWZ8629,10,-22.920196,-43.607486,2023-07-21 13:07:00,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],37053.4,,
47021,KRM7686,20,-22.919605,-43.607079,2023-06-11 16:52:40,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],24792.3,,
47022,KRM7701,12,-23.004714,-43.429762,2023-07-21 14:01:05,56.8,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],10689.7,250.0,
47024,KYS6559,12,-23.015657,-43.471196,2023-07-21 14:01:06,15.7,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],27747.4,75.0,
47025,KXE8652,13,-22.919881,-43.607336,2023-07-07 14:18:49,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],38341.5,,
47026,KYA7928,20,-22.920119,-43.607528,2023-07-21 13:30:27,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],32079.3,,
47027,KRR2119,20,-22.934878,-43.668038,2023-07-18 18:10:03,49.2,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],1004.1,310.0,
47029,LSQ5267,10,-23.001002,-43.365053,2023-07-21 13:43:29,21.6,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],55528.0,272.0,
47030,LSQ5263,25,-22.991783,-43.598868,2023-07-21 14:01:12,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],52555.5,280.0,
47031,KYW5240,25,-23.000989,-43.366591,2023-07-21 13:59:29,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],49384.8,272.0,
47032,KXE8654,25,-23.01589,-43.519666,2023-06-12 23:42:32,59.6,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],23120.5,,
50301,KPP5B70,0,-23.002612,-43.365624,2023-07-21 13:35:14,0.0,,,,3275.2,,
50302,LSB7J03,11,-22.920147,-43.607163,2023-03-11 10:01:59,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR),2822.8,,
50305,,0,-22.919864,-43.60795,2023-06-25 12:02:37,0.0,,,,10004.8,,
50309,KPN6B05,13,-23.00182,-43.365732,2023-07-21 13:56:24,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],19068.3,,
86802,KQK8699,13,-23.002781,-43.365772,2023-07-21 10:24:26,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],10536.4,,
86809,LQH9072,10,-23.001813,-43.36578,2023-07-21 12:15:41,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],6963.1,,
86835,,0,-23.002381,-43.365199,2023-07-21 13:14:07,0.0,,,,12307.3,,
86840,KOS9769,13,-22.919551,-43.607877,2023-04-21 02:01:35,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],778.8,,
86850,,14,-23.008182,-43.442758,2023-05-03 09:22:53,0.0,,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA,7855.3,,
86851,KQO8674,29,-23.001823,-43.36538,2023-07-21 13:34:33,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],12217.2,,
86859,KWJ9250,12,-23.00393,-43.426714,2023-07-21 14:01:00,61.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],17571.5,70.0,
86870,LSC9364,0,-22.919956,-43.608281,2023-07-21 13:26:54,0.0,,,,3175.1,,
86872,LSH7386,10,-23.001045,-43.368038,2023-07-21 13:45:13,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],21174.5,,
86874,KQB4102,18,-23.001852,-43.366086,2023-07-21 14:01:01,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],511662.9,,
86875,KQB4103,13,-22.920279,-43.607978,2023-07-21 13:28:38,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],11600.8,,
86878,LSZ6142,0,-22.920668,-43.608121,2023-07-06 17:04:14,0.0,,,,23732.5,,
86884,LSP9604,18,-23.006807,-43.313035,2023-07-21 13:33:00,0.0,,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],14488.3,,
86885,LTB5540,29,-23.001859,-43.365268,2023-07-21 14:01:05,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],514205.5,,
86886,LTB5541,29,-23.002088,-43.36551,2023-07-21 11:58:50,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],12785.1,,
86887,KRQ6875,12,-23.000903,-43.364393,2023-07-21 12:48:00,12.1,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],18485.0,245.0,
86889,KRQ6878,0,-22.92057,-43.607771,2023-07-21 14:01:10,0.0,,,,514108.1,,
90001,KPZ5E15,12,-23.002565,-43.365537,2023-07-21 12:29:47,26.4,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],42607.0,45.0,
90002,LMB2D92,10,-23.011347,-43.455143,2023-07-21 14:01:12,57.5,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],53667.7,254.0,
90003,KYN7F36,20,-22.918269,-43.607087,2023-07-21 13:32:55,0.1,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],16797.3,6.0,
90005,KWK6A89,12,-23.004671,-43.561261,2023-07-21 14:00:44,59.6,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],47899.7,105.0,
90006,LRH6D12,10,-23.000849,-43.365378,2023-07-21 13:53:13,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],27982.5,231.0,
901000,,22,-22.964601,-43.391854,2023-07-21 13:48:31,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],29658.2,,
901001,RJD7J89,22,-22.96432,-43.391768,2023-07-21 13:14:09,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],16606.9,,
901002,,22,-23.006645,-43.315805,2023-07-21 13:48:17,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],16542.3,,
901003,RKM8C54,22,-22.965054,-43.391144,2023-07-21 13:14:16,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22704.7,,
901004,RJQ8J80,22,-23.000936,-43.367642,2023-07-21 09:52:52,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20564.7,130.0,
901005,RJB8E53,22,-23.000841,-43.366678,2023-07-21 13:55:51,20.5,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20845.9,37.0,
901006,RJA9F56,22,-23.004577,-43.321203,2023-07-21 14:01:10,44.6,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],18722.8,110.0,
901007,,22,-23.001269,-43.329173,2023-07-21 14:01:05,17.6,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],20971.0,283.0,
901008,,22,-23.000681,-43.365956,2023-07-21 14:01:02,23.3,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21869.1,90.0,
901009,,22,-23.000902,-43.365044,2023-07-21 13:57:54,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20002.4,,
901010,RJM8G30,22,-23.000938,-43.367641,2023-07-21 13:06:47,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22170.8,,
901011,RIV8A74,22,-23.000927,-43.367564,2023-07-21 12:53:29,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],22596.7,,
901012,,22,-23.000865,-43.367298,2023-07-21 12:35:59,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20769.0,,
901013,,22,-23.000097,-43.34612,2023-07-21 14:00:24,28.6,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],30564.3,264.0,
901014,,22,-23.006815,-43.312036,2023-07-21 14:01:11,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],34790.8,67.0,
901015,,51,-23.008458,-43.439888,2023-07-21 14:01:05,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],12663.9,,
901016,,22,-23.000673,-43.334636,2023-07-21 14:01:05,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],36489.9,103.0,
901017,,22,-23.006683,-43.313607,2023-07-21 09:00:24,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],24660.1,98.0,
901018,,22,-23.001074,-43.365775,2023-07-21 13:39:21,16.6,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2087.9,269.0,
901019,,22,-23.006469,-43.312971,2023-07-21 14:01:05,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],31187.5,264.0,
901020,,22,-23.006599,-43.314346,2023-07-21 09:20:44,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],25193.9,,
901021,,22,-23.000948,-43.364928,2023-07-21 13:42:41,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],16969.0,138.0,
901022,,22,-23.006459,-43.315938,2023-07-21 13:46:20,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],18063.3,,
901023,,51,-23.008597,-43.440268,2023-07-21 13:40:32,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],32547.0,,
901024,,22,-22.96514,-43.391867,2023-07-21 13:46:23,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19926.6,159.0,
901025,,51,-23.008557,-43.440298,2023-07-21 13:57:34,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],39576.8,,
901026,,51,-22.861277,-43.398944,2023-07-21 14:01:09,54.0,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],31624.5,62.0,
901027,,51,-23.008563,-43.440302,2023-07-21 13:10:53,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],24844.7,,
901028,,22,-23.006536,-43.315249,2023-07-21 13:42:04,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22892.4,,
901029,,41,-22.964778,-43.39215,2023-07-21 13:24:24,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],23818.1,,
901030,,22,-22.96451,-43.391973,2023-07-21 14:00:39,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21309.7,,
901031,,35,-22.976359,-43.405232,2023-07-21 14:01:17,20.1,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],24213.4,236.0,
901032,,52,-22.964904,-43.391649,2023-07-21 13:22:18,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],25277.4,67.0,
901033,,22,-22.964527,-43.392089,2023-07-21 13:33:35,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25776.2,,
901034,,22,-23.0063,-43.316367,2023-07-21 14:01:03,41.5,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],26329.1,284.0,
901035,,31,-22.964597,-43.392056,2023-07-21 13:35:25,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],25436.0,,
901036,,40,-22.965314,-43.391284,2023-07-21 13:39:27,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],22230.8,124.0,
901037,,40,-22.964776,-43.392129,2023-07-21 13:25:11,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],18902.7,,
901038,,22,-23.000678,-43.366293,2023-07-21 14:00:45,25.6,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],26447.4,93.0,
901039,,40,-23.001019,-43.366442,2023-07-21 13:14:59,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],24114.8,,
901040,,41,-23.008179,-43.439773,2023-07-21 12:55:02,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],28730.6,,
901041,,40,-23.000959,-43.367214,2023-07-21 10:40:28,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],24994.2,,
901042,,40,-23.000922,-43.367141,2023-07-21 12:36:14,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],29075.0,,
901043,,22,-23.000623,-43.36447,2023-07-21 13:47:35,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25117.4,196.0,
901044,,22,-23.00096,-43.367299,2023-07-21 13:10:19,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],28613.9,,
901045,,22,-23.000903,-43.365126,2023-07-21 13:28:05,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],31697.5,,
901046,,22,-22.964862,-43.392161,2023-07-21 13:24:37,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],27083.2,,
901047,,51,-23.008629,-43.440502,2023-07-21 13:26:53,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],44492.9,,
901048,,0,-22.964626,-43.391961,2023-07-21 14:00:34,0.0,,,,25480.7,,
901049,,0,-22.964549,-43.39218,2023-07-20 17:01:25,0.0,,,,33163.0,,
901050,,40,-22.964759,-43.391929,2023-07-21 13:36:59,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],23337.1,,
901051,,52,-22.964812,-43.391889,2023-07-21 13:31:37,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],38044.7,,
901052,,41,-22.964778,-43.391935,2023-07-21 13:40:56,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],19810.4,,
901053,,22,-22.964421,-43.391906,2023-07-21 13:17:40,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],19464.6,,
901054,,22,-23.000715,-43.367357,2023-07-21 13:12:06,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],20258.8,191.0,
901055,,51,-22.919733,-43.396574,2023-07-21 14:01:06,58.3,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],45687.6,189.0,
901056,,22,-22.965321,-43.391314,2023-07-21 14:01:08,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],24888.3,,
901057,,22,-23.006729,-43.313848,2023-07-21 13:08:38,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],49961.6,,
901058,,51,-23.008596,-43.440461,2023-07-21 09:25:09,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],42454.2,49.0,
901059,,51,-22.965099,-43.391388,2023-07-21 13:47:04,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],46748.2,,
901060,,51,-23.008771,-43.440635,2023-07-21 13:53:23,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],23612.4,,
901061,,51,-22.976503,-43.406202,2023-07-21 14:01:18,43.0,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],41575.4,212.0,
901062,,51,-22.976559,-43.406023,2023-07-21 14:01:12,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],45372.9,43.0,
901063,,51,-23.008693,-43.440627,2023-07-21 10:15:12,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],47406.6,,
901064,,22,-23.000884,-43.364324,2023-07-21 13:51:08,13.8,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],48295.6,185.0,
901065,,22,-23.000966,-43.367315,2023-07-21 09:23:02,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],34750.8,,
901066,,22,-23.006556,-43.31416,2023-07-21 13:17:58,0.0,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],48849.8,,
901067,,52,-23.006635,-43.314529,2023-07-21 13:31:23,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],40900.5,,
